사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-20,중앙선,1218,원덕,43 ,1 ,249 ,2 ,377 ,47 ,720 ,164 ,722 ,307 ,688 ,295 ,661 ,493 ,407 ,521 ,527 ,406 ,534 ,276 ,438 ,467 ,499 ,504 ,506 ,497 ,436 ,752 ,358 ,640 ,183 ,472 ,76 ,459 ,55 ,473 ,34 ,264 ,11 ,208 ,1 ,132 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,중앙선,1219,용문,200 ,4 ,614 ,4 ,1679 ,312 ,2529 ,1025 ,3079 ,2440 ,2160 ,1560 ,2791 ,2355 ,2422 ,3862 ,3373 ,4826 ,3825 ,2871 ,4232 ,3984 ,4747 ,3704 ,3848 ,2427 ,2722 ,3189 ,2266 ,2648 ,1149 ,2170 ,750 ,2437 ,550 ,1221 ,384 ,1407 ,101 ,1253 ,1 ,674 ,0 ,12 ,0 ,0 ,0 ,0 
Feb-20,중앙선,1220,지평,0 ,0 ,0 ,0 ,0 ,0 ,255 ,92 ,139 ,34 ,0 ,1 ,265 ,200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,260 ,323 ,1 ,2 ,27 ,40 ,70 ,114 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1401,봉명,97 ,0 ,904 ,298 ,1202 ,714 ,1812 ,2732 ,1481 ,2303 ,1772 ,2923 ,1753 ,1791 ,2003 ,1188 ,2290 ,1382 ,1341 ,1747 ,1422 ,909 ,2297 ,1205 ,1543 ,1311 ,2084 ,925 ,1788 ,1945 ,829 ,1053 ,571 ,1058 ,550 ,865 ,401 ,689 ,383 ,490 ,4 ,143 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1402,쌍용(나사렛대),32 ,0 ,1431 ,274 ,3313 ,651 ,5129 ,1001 ,4037 ,2262 ,2612 ,2217 ,1869 ,1221 ,1819 ,1233 ,2719 ,1989 ,1938 ,1896 ,1636 ,1268 ,2720 ,2004 ,1825 ,2427 ,2026 ,2125 ,2900 ,5325 ,1557 ,3368 ,1398 ,3410 ,1320 ,2227 ,814 ,1761 ,652 ,1698 ,18 ,272 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1403,아산,11 ,0 ,589 ,434 ,1737 ,2142 ,3338 ,3616 ,3713 ,3509 ,2464 ,4200 ,2272 ,2669 ,2403 ,2037 ,3365 ,4072 ,2520 ,3215 ,2882 ,2226 ,4663 ,2755 ,3149 ,3139 ,4061 ,3141 ,6689 ,5228 ,4326 ,3307 ,3355 ,2911 ,3687 ,2072 ,2277 ,1395 ,1825 ,1226 ,167 ,177 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1405,배방,10 ,0 ,788 ,131 ,1261 ,732 ,1594 ,662 ,1754 ,1164 ,1142 ,859 ,999 ,826 ,1084 ,522 ,1343 ,1237 ,1060 ,1015 ,970 ,769 ,1352 ,924 ,910 ,1572 ,1506 ,1249 ,2030 ,1996 ,889 ,1812 ,945 ,1528 ,693 ,1208 ,374 ,857 ,302 ,922 ,109 ,289 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1407,온양온천,263 ,1 ,1648 ,572 ,2946 ,1508 ,5156 ,3812 ,6118 ,5535 ,5492 ,4099 ,4476 ,6445 ,5749 ,4135 ,5469 ,8120 ,5902 ,4331 ,7786 ,5741 ,5543 ,4922 ,4927 ,5214 ,5946 ,5619 ,6716 ,6203 ,2679 ,5529 ,2801 ,4282 ,1767 ,3579 ,1165 ,2574 ,864 ,1750 ,208 ,1125 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,장항선,1408,신창(순천향대),224 ,2 ,428 ,55 ,715 ,191 ,1891 ,1612 ,870 ,1952 ,1449 ,911 ,1236 ,1255 ,1105 ,910 ,1491 ,1516 ,1005 ,739 ,2129 ,1639 ,1077 ,1137 ,1419 ,869 ,3701 ,1906 ,1652 ,1495 ,976 ,1386 ,593 ,1181 ,577 ,983 ,353 ,1331 ,193 ,842 ,63 ,406 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1251,서울역,3 ,0 ,640 ,7 ,685 ,5090 ,1880 ,17415 ,2693 ,36841 ,1387 ,17341 ,1068 ,5079 ,1416 ,3853 ,1949 ,3013 ,2386 ,4623 ,2798 ,1362 ,3438 ,3168 ,5644 ,2198 ,11217 ,4485 ,30028 ,4185 ,11114 ,2872 ,7668 ,2343 ,3126 ,804 ,1357 ,120 ,1864 ,1002 ,1 ,113 ,1 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1252,신촌,0 ,0 ,144 ,1 ,229 ,720 ,353 ,2244 ,442 ,6507 ,363 ,2491 ,426 ,1347 ,568 ,1139 ,710 ,1352 ,744 ,1321 ,812 ,905 ,972 ,858 ,1703 ,658 ,3066 ,1321 ,3211 ,1499 ,1332 ,998 ,1230 ,615 ,1093 ,289 ,1138 ,123 ,493 ,326 ,7 ,43 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1261,효창공원앞,1 ,0 ,541 ,193 ,1366 ,1572 ,3721 ,3541 ,5730 ,14372 ,3794 ,8539 ,2340 ,3289 ,2384 ,2454 ,2629 ,2460 ,2870 ,2589 ,2832 ,2607 ,2892 ,2659 ,3559 ,3194 ,5361 ,3598 ,12515 ,6317 ,5785 ,5196 ,3251 ,3501 ,2659 ,3117 ,2070 ,3099 ,967 ,2174 ,79 ,409 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1262,공덕,31 ,0 ,467 ,130 ,1538 ,1373 ,3927 ,5638 ,4281 ,18104 ,3340 ,7188 ,2651 ,2887 ,3043 ,2684 ,3805 ,2830 ,3930 ,2523 ,3993 ,2771 ,3959 ,2513 ,4694 ,3226 ,7634 ,3778 ,16968 ,5736 ,7151 ,4396 ,5057 ,2683 ,5161 ,2485 ,4254 ,2244 ,2314 ,1224 ,259 ,436 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1263,서강대,1 ,0 ,429 ,135 ,1571 ,979 ,2302 ,2651 ,3045 ,6395 ,2324 ,5204 ,1801 ,2877 ,1930 ,2666 ,2279 ,2892 ,2726 ,2702 ,2615 ,2936 ,3745 ,2575 ,3429 ,2602 ,4585 ,3259 ,5494 ,3989 ,3137 ,3032 ,2911 ,1882 ,3162 ,1810 ,3032 ,1418 ,1379 ,981 ,111 ,228 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1264,홍대입구,5 ,0 ,362 ,79 ,667 ,611 ,1201 ,1512 ,1595 ,4920 ,1164 ,3717 ,926 ,2747 ,1071 ,2488 ,1582 ,3853 ,1618 ,3665 ,1953 ,3523 ,2166 ,3628 ,2673 ,3346 ,3898 ,4185 ,5908 ,5264 ,4129 ,4068 ,3645 ,2143 ,4221 ,1746 ,4755 ,1343 ,2464 ,1188 ,146 ,311 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1265,가좌,0 ,0 ,1869 ,188 ,5894 ,2220 ,16479 ,3190 ,21039 ,6689 ,9112 ,5674 ,6222 ,4144 ,5641 ,3971 ,6407 ,5515 ,5930 ,5605 ,5632 ,6142 ,5817 ,6455 ,6477 ,7283 ,6789 ,8889 ,8128 ,13820 ,4634 ,13876 ,3295 ,7138 ,2666 ,6011 ,1883 ,4346 ,876 ,4045 ,30 ,765 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1266,디지털미디어시티,1 ,0 ,845 ,286 ,1909 ,1551 ,7298 ,1671 ,7955 ,3696 ,3500 ,2545 ,2494 ,1885 ,2525 ,1615 ,2675 ,2154 ,2802 ,2185 ,2599 ,2127 ,2857 ,2324 ,3243 ,2821 ,3989 ,3911 ,4576 ,7529 ,2667 ,6507 ,1707 ,3605 ,1580 ,3338 ,1178 ,2863 ,727 ,2213 ,84 ,467 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1267,수색,1 ,0 ,469 ,265 ,1237 ,2505 ,1891 ,3865 ,2614 ,15198 ,1847 ,7939 ,1445 ,3002 ,1540 ,1938 ,1710 ,2037 ,1933 ,2411 ,1956 ,1967 ,2363 ,1924 ,3171 ,2332 ,5934 ,2399 ,13934 ,2280 ,5594 ,1832 ,2817 ,1189 ,2434 ,1062 ,1577 ,818 ,673 ,586 ,14 ,166 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1268,화전,0 ,0 ,442 ,212 ,1033 ,824 ,2655 ,1643 ,3702 ,3758 ,2497 ,2032 ,1632 ,1697 ,1482 ,1664 ,1787 ,1553 ,1834 ,1959 ,2014 ,1787 ,2011 ,1597 ,2623 ,1632 ,3193 ,1729 ,4050 ,2316 ,1782 ,2336 ,1321 ,1619 ,936 ,1400 ,673 ,1385 ,462 ,1086 ,25 ,500 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1269,강매,0 ,0 ,1647 ,212 ,4328 ,868 ,15362 ,926 ,14377 ,2750 ,5726 ,1334 ,3702 ,958 ,3084 ,1168 ,2941 ,1403 ,2890 ,1892 ,2381 ,1979 ,2322 ,2402 ,2256 ,3327 ,2318 ,4465 ,3165 ,8241 ,1302 ,10041 ,841 ,5343 ,807 ,4349 ,437 ,3852 ,234 ,2880 ,19 ,1172 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1270,행신,0 ,1 ,2813 ,883 ,10525 ,3964 ,36142 ,3992 ,29454 ,8888 ,12602 ,5933 ,8288 ,3713 ,8839 ,4484 ,8222 ,5174 ,7679 ,6385 ,6691 ,6164 ,6287 ,7334 ,8583 ,8985 ,10072 ,13069 ,10239 ,30341 ,5655 ,28117 ,5288 ,12597 ,4329 ,11397 ,3905 ,9968 ,2022 ,6991 ,262 ,2629 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1271,능곡,1 ,0 ,1953 ,253 ,4950 ,1763 ,14407 ,2249 ,13390 ,4784 ,7201 ,2740 ,4627 ,2448 ,4330 ,2513 ,4207 ,2942 ,4305 ,3287 ,3501 ,3592 ,3499 ,3979 ,3868 ,4479 ,4118 ,6549 ,5024 ,9100 ,2655 ,9398 ,2039 ,5822 ,1548 ,4950 ,1077 ,4427 ,566 ,3216 ,42 ,1694 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1272,곡산,0 ,0 ,138 ,188 ,481 ,427 ,1455 ,935 ,1287 ,2208 ,732 ,716 ,546 ,417 ,557 ,393 ,522 ,449 ,560 ,482 ,569 ,588 ,868 ,522 ,799 ,568 ,1053 ,723 ,1661 ,1277 ,461 ,937 ,350 ,683 ,261 ,512 ,173 ,497 ,114 ,260 ,4 ,83 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1273,백마,2 ,0 ,2981 ,1136 ,12104 ,2708 ,31724 ,6116 ,21657 ,9885 ,10060 ,4980 ,7203 ,3822 ,6869 ,3337 ,7850 ,4492 ,7035 ,4954 ,6340 ,5430 ,6487 ,5724 ,7256 ,7396 ,9158 ,8271 ,10810 ,21135 ,4365 ,21901 ,3083 ,11900 ,2843 ,9734 ,2737 ,9242 ,927 ,6380 ,105 ,1858 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1274,풍산,1 ,0 ,2835 ,431 ,8383 ,1537 ,21240 ,3365 ,16304 ,5996 ,9200 ,4552 ,6040 ,3532 ,6263 ,3696 ,6215 ,4295 ,6072 ,4846 ,5493 ,4854 ,6078 ,5465 ,6052 ,6016 ,6462 ,8129 ,7112 ,16092 ,4111 ,15116 ,3141 ,9624 ,3727 ,7716 ,2440 ,6622 ,844 ,5505 ,117 ,1371 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1275,일산,5 ,1 ,5183 ,871 ,16871 ,2909 ,43705 ,5109 ,28340 ,9708 ,14157 ,6920 ,9408 ,5204 ,9762 ,5258 ,10947 ,6680 ,9813 ,8051 ,8809 ,8582 ,9105 ,8913 ,8894 ,10942 ,8642 ,13730 ,10890 ,27669 ,5514 ,30649 ,4212 ,18223 ,3447 ,14193 ,3203 ,12624 ,1088 ,7836 ,180 ,3039 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1276,탄현,24 ,0 ,4363 ,523 ,13972 ,2713 ,36607 ,5614 ,21597 ,8189 ,11530 ,5345 ,8960 ,3881 ,8603 ,4261 ,8588 ,5323 ,7703 ,5490 ,7198 ,6424 ,8057 ,7311 ,8401 ,8247 ,7955 ,12869 ,10733 ,23108 ,5295 ,28604 ,4431 ,15946 ,4100 ,11966 ,3386 ,10511 ,1412 ,5635 ,228 ,4110 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1277,야당,8 ,0 ,3527 ,243 ,10435 ,2318 ,19994 ,3915 ,15964 ,6398 ,8445 ,5255 ,6996 ,3135 ,6433 ,3593 ,6759 ,4195 ,5748 ,4863 ,5655 ,5397 ,6060 ,6032 ,6688 ,6390 ,7318 ,10954 ,7483 ,16263 ,5013 ,18406 ,4049 ,9973 ,3988 ,8518 ,3921 ,8078 ,1859 ,4270 ,372 ,2872 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1278,운정,40 ,0 ,2300 ,255 ,12918 ,2971 ,23927 ,4885 ,19514 ,8348 ,9297 ,3852 ,7279 ,3256 ,6290 ,3634 ,6920 ,4264 ,6288 ,4793 ,5673 ,4929 ,5665 ,5791 ,7623 ,7233 ,7720 ,9730 ,8763 ,16592 ,3980 ,18043 ,3279 ,10169 ,2505 ,9124 ,1831 ,7993 ,565 ,5054 ,68 ,2410 ,1 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1279,금릉,71 ,0 ,2506 ,348 ,6702 ,1911 ,14921 ,3927 ,9706 ,8457 ,6514 ,4517 ,5378 ,3548 ,5354 ,3237 ,5929 ,3605 ,5472 ,4334 ,5147 ,4836 ,4993 ,5394 ,5491 ,6398 ,6769 ,7070 ,8908 ,11853 ,4165 ,12977 ,3517 ,6474 ,3034 ,5792 ,2521 ,5693 ,986 ,3950 ,122 ,2211 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1280,금촌,59 ,0 ,2872 ,233 ,8607 ,3397 ,17299 ,8769 ,15688 ,13944 ,9777 ,7994 ,8006 ,6498 ,8289 ,5457 ,9141 ,7385 ,8907 ,7420 ,8175 ,7912 ,8515 ,8565 ,9522 ,9766 ,10836 ,10532 ,14244 ,14654 ,6845 ,15859 ,5374 ,8761 ,4229 ,7837 ,2977 ,6066 ,956 ,4917 ,174 ,2529 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1282,월롱,7 ,0 ,527 ,9 ,649 ,2435 ,1495 ,7448 ,2050 ,8611 ,1828 ,1962 ,1321 ,1497 ,1672 ,1174 ,1928 ,2061 ,2213 ,1345 ,1587 ,1472 ,2413 ,1480 ,2848 ,1658 ,6834 ,1797 ,12223 ,2193 ,4068 ,2219 ,2870 ,2130 ,1779 ,2193 ,849 ,1660 ,226 ,1614 ,20 ,649 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1283,파주,15 ,0 ,702 ,3 ,1204 ,342 ,2581 ,1489 ,2630 ,3155 ,1545 ,890 ,1607 ,816 ,1584 ,815 ,1690 ,1014 ,1407 ,851 ,1441 ,954 ,1398 ,1012 ,1503 ,1166 ,2243 ,1060 ,3505 ,1158 ,931 ,1344 ,593 ,1109 ,647 ,793 ,248 ,895 ,83 ,657 ,9 ,293 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1284,문산,857 ,6 ,2640 ,9 ,7179 ,2341 ,15093 ,5648 ,14280 ,11301 ,8365 ,4861 ,6930 ,4633 ,6904 ,4732 ,7491 ,5767 ,7267 ,6183 ,7058 ,5769 ,6572 ,8070 ,6889 ,8081 ,8693 ,8261 ,10537 ,12593 ,4544 ,12404 ,3396 ,8720 ,2890 ,6964 ,1799 ,5413 ,419 ,4113 ,1 ,2739 ,0 ,1 ,0 ,0 ,0 ,0 
Feb-20,경의선,1291,서울역,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1295,김포공항,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1296,계양,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경의선,1297,검암,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1311,신내,4 ,1 ,468 ,435 ,1193 ,2384 ,4042 ,1830 ,4051 ,2945 ,2227 ,1237 ,1517 ,1048 ,1518 ,1016 ,1520 ,1265 ,1529 ,1252 ,1449 ,1518 ,1558 ,1591 ,1994 ,1827 ,2725 ,2304 ,2163 ,3209 ,1167 ,3315 ,784 ,1604 ,671 ,1361 ,562 ,1187 ,364 ,788 ,27 ,320 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1312,갈매,3 ,0 ,1439 ,274 ,3365 ,1343 ,14586 ,2085 ,9208 ,3580 ,5313 ,2164 ,2831 ,2311 ,2569 ,1361 ,2936 ,1584 ,2438 ,2146 ,2542 ,2297 ,2263 ,2976 ,2602 ,2613 ,2935 ,4117 ,4176 ,5672 ,2089 ,10286 ,1555 ,4803 ,2216 ,2538 ,1267 ,3043 ,658 ,1849 ,5 ,712 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1313,별내,12 ,1 ,795 ,816 ,1694 ,3431 ,7043 ,3266 ,6834 ,5255 ,3968 ,3209 ,2674 ,2335 ,2549 ,2449 ,2926 ,2430 ,2745 ,2297 ,2903 ,2908 ,3433 ,3210 ,4243 ,3086 ,5429 ,4332 ,4852 ,5153 ,2571 ,6768 ,1952 ,3281 ,1884 ,1984 ,1926 ,2153 ,1010 ,1368 ,27 ,288 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1314,퇴계원,1 ,0 ,2076 ,476 ,4715 ,1454 ,17068 ,2911 ,11898 ,3956 ,7793 ,2007 ,5010 ,2166 ,3913 ,2213 ,4204 ,2890 ,4031 ,2763 ,3312 ,3245 ,3387 ,4110 ,3456 ,4730 ,4031 ,6372 ,4948 ,10784 ,2737 ,10830 ,1627 ,6600 ,1490 ,4901 ,1088 ,4890 ,548 ,2813 ,41 ,877 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1315,사릉,32 ,0 ,1737 ,614 ,4756 ,1645 ,14749 ,4314 ,11917 ,5249 ,5960 ,2168 ,4312 ,2045 ,3424 ,1940 ,3751 ,2083 ,3514 ,2391 ,2845 ,2651 ,2963 ,2545 ,2727 ,4485 ,4289 ,4708 ,6044 ,8729 ,2557 ,12716 ,1527 ,4965 ,1135 ,4784 ,768 ,4684 ,392 ,2603 ,22 ,757 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1316,금곡,2 ,0 ,1139 ,247 ,1984 ,847 ,4495 ,1758 ,4402 ,3731 ,2453 ,1646 ,2209 ,1321 ,1917 ,1177 ,1830 ,1478 ,1896 ,1431 ,1729 ,1683 ,1992 ,1628 ,1738 ,2350 ,2165 ,2290 ,3499 ,3307 ,1048 ,3638 ,642 ,1569 ,579 ,1612 ,443 ,1560 ,184 ,1051 ,11 ,270 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1317,평내호평,491 ,2 ,4618 ,1138 ,7529 ,2285 ,23397 ,3693 ,15984 ,7815 ,8156 ,5762 ,6973 ,4481 ,6416 ,4213 ,7031 ,5330 ,6244 ,5398 ,5818 ,7006 ,6661 ,6265 ,6512 ,6860 ,7824 ,10972 ,8266 ,14802 ,4597 ,20184 ,3524 ,9071 ,3631 ,7675 ,3402 ,6278 ,1650 ,5724 ,31 ,1943 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1318,천마산,12 ,1 ,789 ,240 ,2469 ,499 ,6036 ,1315 ,4584 ,1161 ,3497 ,1156 ,2585 ,1175 ,2143 ,1074 ,2170 ,1500 ,1837 ,1479 ,1854 ,1679 ,1616 ,2091 ,1559 ,2120 ,1501 ,2673 ,1877 ,3756 ,694 ,3823 ,539 ,3029 ,429 ,2261 ,333 ,1438 ,145 ,1061 ,6 ,301 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1319,마석,26 ,2 ,1170 ,380 ,5061 ,2420 ,13229 ,4753 ,8198 ,5947 ,5969 ,4035 ,5034 ,3199 ,4646 ,3019 ,5008 ,3447 ,4543 ,4220 ,4332 ,4029 ,4153 ,4852 ,5060 ,3956 ,4741 ,5879 ,6447 ,7273 ,2545 ,10672 ,2448 ,5761 ,1878 ,4247 ,1296 ,3918 ,562 ,1966 ,29 ,969 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1320,대성리,0 ,0 ,266 ,37 ,639 ,173 ,962 ,555 ,797 ,905 ,760 ,433 ,1140 ,608 ,2263 ,555 ,1337 ,774 ,785 ,1242 ,757 ,1763 ,722 ,1247 ,862 ,1184 ,1210 ,807 ,904 ,691 ,427 ,614 ,292 ,513 ,144 ,384 ,151 ,400 ,69 ,176 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1321,청평,3 ,0 ,867 ,73 ,1544 ,409 ,2647 ,1491 ,3192 ,2714 ,2634 ,2415 ,2819 ,2138 ,5193 ,1727 ,3321 ,2355 ,2685 ,2571 ,2520 ,3513 ,2365 ,2466 ,2512 ,3297 ,3037 ,2935 ,2669 ,2954 ,1653 ,3239 ,1433 ,1604 ,735 ,1729 ,391 ,1235 ,147 ,910 ,5 ,262 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1322,상천,0 ,0 ,61 ,33 ,237 ,88 ,488 ,105 ,461 ,454 ,377 ,469 ,295 ,515 ,540 ,468 ,399 ,387 ,387 ,383 ,578 ,299 ,609 ,399 ,628 ,350 ,510 ,271 ,268 ,375 ,135 ,324 ,61 ,252 ,74 ,190 ,23 ,138 ,25 ,76 ,2 ,50 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1323,가평,0 ,0 ,577 ,147 ,1276 ,685 ,1948 ,1683 ,2709 ,3662 ,2115 ,2124 ,3066 ,2402 ,4718 ,2747 ,2545 ,3985 ,2486 ,3049 ,2669 ,3651 ,2821 ,3437 ,3150 ,2114 ,3494 ,2429 ,3681 ,2874 ,1388 ,2384 ,1165 ,1521 ,1015 ,1201 ,579 ,977 ,278 ,720 ,19 ,332 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1324,굴봉산,0 ,0 ,27 ,1 ,26 ,18 ,124 ,66 ,175 ,247 ,212 ,284 ,181 ,454 ,434 ,338 ,233 ,296 ,230 ,235 ,224 ,203 ,287 ,267 ,243 ,176 ,245 ,161 ,155 ,240 ,117 ,140 ,35 ,80 ,59 ,62 ,34 ,36 ,6 ,41 ,4 ,27 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1325,백양리,0 ,0 ,53 ,16 ,43 ,39 ,47 ,321 ,132 ,741 ,118 ,317 ,170 ,496 ,603 ,494 ,463 ,400 ,389 ,417 ,416 ,390 ,511 ,301 ,518 ,235 ,961 ,246 ,492 ,217 ,177 ,147 ,257 ,153 ,248 ,131 ,195 ,137 ,163 ,184 ,22 ,26 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1326,강촌,1 ,0 ,86 ,11 ,148 ,93 ,264 ,180 ,382 ,744 ,357 ,878 ,434 ,955 ,926 ,907 ,704 ,621 ,637 ,604 ,686 ,646 ,907 ,550 ,1011 ,593 ,1195 ,422 ,763 ,493 ,366 ,397 ,283 ,264 ,195 ,252 ,79 ,258 ,31 ,191 ,6 ,24 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1327,김유정,1 ,0 ,60 ,6 ,115 ,27 ,290 ,276 ,349 ,403 ,238 ,577 ,272 ,893 ,338 ,1036 ,472 ,777 ,662 ,724 ,655 ,672 ,941 ,570 ,984 ,425 ,1032 ,353 ,583 ,296 ,188 ,257 ,136 ,156 ,77 ,139 ,23 ,126 ,11 ,87 ,47 ,16 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1328,남춘천,356 ,0 ,1065 ,8 ,2951 ,605 ,3186 ,1612 ,3511 ,2724 ,3542 ,3064 ,3270 ,2329 ,3277 ,4688 ,3490 ,5488 ,4089 ,3456 ,4713 ,3733 ,4182 ,3751 ,3991 ,3330 ,4148 ,5058 ,3491 ,3149 ,2523 ,6639 ,2243 ,2875 ,1996 ,2133 ,1437 ,3094 ,490 ,1612 ,13 ,993 ,0 ,0 ,0 ,0 ,0 ,0 
Feb-20,경춘선,1329,춘천,245 ,2 ,292 ,5 ,1398 ,231 ,1513 ,838 ,1628 ,1609 ,1725 ,1437 ,1654 ,1480 ,1678 ,2495 ,1571 ,2274 ,2207 ,2681 ,2603 ,1934 ,2692 ,2515 ,3048 ,1620 ,3182 ,1999 ,2627 ,1445 ,1534 ,2318 ,1144 ,1053 ,848 ,1014 ,437 ,969 ,129 ,657 ,3 ,504 ,0 ,0 ,0 ,0 ,0 ,0 
